[noun]
ability,abilities
abroad,abroads
abuse,abuses
access,accesses
accident,accidents
account,accounts
act,acts
action,actia
active,actives
activity,activities
actor,actors
ad,ads
addition,additia
address,addresses
administration,administratia
adult,adults
advance,advances
advantage,advantages
advertising,advertisings
advice,advices
affair,affairs
affect,affects
afternoon,afternoa
age,ages
agency,agencies
agent,agents
agreement,agreements
air,airs
airline,airlines
airport,airports
alarm,alarms
alcohol,alcohols
alternative,alternatives
ambition,ambitia
amount,amounts
analysis,analyses
analyst,analysts
anger,angers
angle,angles
animal,animals
annual,annuals
answer,answers
anxiety,anxieties
anybody,anybodies
anything,anythings
anywhere,anywheres
apartment,apartments
appeal,appeals
appearance,appearances
apple,apples
application,applicatia
appointment,appointments
area,areas
argument,arguments
arm,arms
army,armies
arrival,arrivals
art,arts
article,articles
aside,asides
ask,asks
aspect,aspects
assignment,assignments
assist,assists
assistance,assistances
assistant,assistants
associate,associates
association,associatia
assumption,assumptia
atmosphere,atmospheres
attack,attacks
attempt,attempts
attention,attentia
attitude,attitudes
audience,audiences
author,authors
average,averages
award,awards
awareness,awarenesses
baby,babies
back,backs
background,backgrounds
bad,bads
bag,bags
bake,bakes
balance,balances
ball,balls
band,bands
bank,banks
bar,bars
base,bases
baseball,baseballs
basis,bases
basket,baskets
bat,bats
bath,baths
bathroom,bathrooms
battle,battles
beach,beaches
bear,bears
beat,beats
beautiful,beautifuls
bed,beds
bedroom,bedrooms
beer,beers
beginning,beginnings
being,beings
bell,bells
belt,belts
bench,benches
bend,bends
benefit,benefits
bet,bets
beyond,beyonds
bicycle,bicycles
bid,bids
big,bigs
bike,bikes
bill,bills
bird,birds
birth,births
birthday,birthdays
bit,bits
bite,bites
bitter,bitters
black,blacks
blame,blames
blank,blanks
blind,blinds
block,blocks
blood,bloods
blow,blows
blue,blues
board,boards
boat,boats
body,bodies
bone,bones
bonus,boni
book,books
boot,boots
border,borders
boss,bosses
bother,bothers
bottle,bottles
bottom,bottoms
bowl,bowls
box,boxes
boy,boys
boyfriend,boyfriends
brain,brains
branch,branches
brave,braves
bread,breads
break,breaks
breakfast,breakfasts
breast,breasts
breath,breaths
brick,bricks
bridge,bridges
brief,brieves
brilliant,brilliants
broad,broads
brother,brothers
brown,browns
brush,brushes
buddy,buddies
budget,budgets
bug,bugs
building,buildings
bunch,bunches
burn,burns
bus,buses
business,businesses
button,butta
buy,buys
buyer,buyers
cabinet,cabinets
cable,cables
cake,cakes
calendar,calendars
call,calls
calm,calms
camera,cameras
camp,camps
campaign,campaigns
can,cans
cancel,cancels
cancer,cancers
candidate,candidates
candle,candles
candy,candies
cap,caps
capital,capitals
car,cars
card,cards
care,cares
career,careers
carpet,carpets
carry,carries
case,cases
cash,cashes
cat,cats
catch,catches
category,categories
cause,causes
celebration,celebratia
cell,cells
chain,chains
chair,chairs
challenge,challenges
champion,champia
championship,championships
chance,chances
change,changes
channel,channels
