[regular verb]
aah,aahed
abaise,abaised
abaiss,abaissed
abalienate,abalienated
abandon,abandoned
abase,abased
abash,abashed
abate,abated
abatise,abatised
abattise,abattised
abbreviate,abbreviated
abduce,abduced
abduct,abducted
a,abed
aberrate,aberrated
abet,abetted
abhor,abhorred
abide,abided
aby,abied
aby,abyed
abirritate,abirritated
abjudge,abjudged
abjure,abjured
ablactate,ablactated
ablate,ablated
bodi,bodied
ablute,abluted
abnegate,abnegated
abnormalise,abnormalised
abnormalize,abnormalized
abod,aboded
abolish,abolished
abolitionise,abolitionised
abolitionize,abolitionized
abominate,abominated
abort,aborted
abound,abounded
ship,shipped
cite,cited
find,found
give,given
abovemention,abovementioned
quote,quoted
report,reported
abrad,abraded
abrase,abrased
abreact,abreacted
abridge,abridged
abrogate,abrogated
abscess,abscessed
abscise,abscised
abscond,absconded
abseil,abseiled
absent,absented
absentmind,absentminded
absinthiate,absinthiated
absolve,absolved
absorb,absorbed
abstain,abstained
absterge,absterged
abstract,abstracted
abstrict,abstricted
abuse,abused
abut,abutted
academise,academised
academize,academized
acced,acceded
accelerate,accelerated
accense,accensed
accentuate,accentuated
accept,accepted
acceptilate,acceptilated
access,accessed
accession,accessioned
accessorize,accessorized
accident,accidented
accinge,accinged
acclaim,acclaimed
acclimate,acclimated
acclimatise,acclimatised
acclimatize,acclimatized
accoy,accoyed
accolad,accoladed
accolate,accolated
accoll,accolled
accommodate,accommodated
accompany,accompanied
accomplish,accomplished
accord,accorded
accost,accosted
account,accounted
accouter,accoutered
accour,accoutred
accredit,accredited
accret,accreted
accroach,accroached
accrue,accrued
acculturate,acculturated
acculturize,acculturized
accumulate,accumulated
accurse,accursed
accuse,accused
accustom,accustomed
accustomize,accustomized
ace,aced
acerate,acerated
acerbate,acerbated
acetate,acetated
acetify,acetified
acetylate,acetylated
acetylize,acetylized
ach,ached
achieve,achieved
achromatise,achromatised
achromatize,achromatized
aciculate,aciculated
acidify,acidified
acidize,acidized
acidulate,acidulated
acierate,acierated
acylate,acylated
aciliate,aciliated
acknowledge,acknowledged
acn,acned
acorn,acorned
acquiesce,acquiesced
acquire,acquired
acquisit,acquisited
acquit,acquitted
acr,acred
acronymize,acronymized
actionize,actionized
activize,activized
actualise,actualised
actualize,actualized
actuate,actuated
aculeate,aculeated
acuminate,acuminated
acupuncture,acupunctured
adapt,adapted
addebt,addebted
addicte,addicted
addlebrain,addlebrained
add,addled
addlehead,addleheaded
addlepate,addlepated
addorse,addorsed
addoss,addossed
address,addressed
adduce,adduced
adduct,adducted
adeem,adeemed
adempt,adempted
adfect,adfected
adhere,adhered
adhibit,adhibited
adiate,adiated
adjoin,adjoined
adjourn,adjourned
adjudge,adjudged
adjure,adjured
adjust,adjusted
lib,libbed
administrate,administrated
admix,admixed
adnex,adnexed
adolesce,adolesced
adonize,adonized
adopt,adopted
adore,adored
adorn,adorned
adorse,adorsed
adoss,adossed
adream,adreamed
adrenalectomize,adrenalectomized
adscript,adscripted
adsor,adsorbed
adstipulate,adstipulated
adulate,adulated
adumbrate,adumbrated
aduncate,aduncated
advect,advected
adventure,adventured
adverse,adversed
advert,adverted
advertise,advertised
advertize,advertized
advise,advised
advocate,advocated
aerate,aerated
aery,aeried
aerify,aerified
aerobate,aerobated
aerosolize,aerosolized
aestivate,aestivated
aether,aethered
aface,afaced
afear,afeared
affect,affected
affection,affectioned
affiance,affianced
affy,affied
affiliate,affiliated
affin,affined
affirm,affirmed
affix,affixed
afflate,afflated
afflict,afflicted
afforce,afforced
afford,afforded
afforest,afforested
affray,affrayed
affranchise,affranchised
affriend,affriended
affront,affronted
act,acted
decry,decried
grant,granted
know,known
aforemention,aforementioned
mention,mentioned
aforenam,aforenamed
plan,planned
see,seen
state,stated
tell,told
africanize,africanized
bear,born
afterdate,afterdated
describe,described
design,designed
name,named
aftershaft,aftershafted
specify,specified
afterthought,afterthoughted
afterwit,afterwitted
write,written
agatize,agatized
agaze,agazed
crack,cracked
despoil,despoiled
jaw,jawed
encrust,encrusted
enfeeble,enfeebled
honor,honored
agenize,agenized
peel,peeled
weather,weathered
agglomerate,agglomerated
agglutinate,agglutinated
aggrad,aggraded
aggrandise,aggrandised
aggrandize,aggrandized
aggravate,aggravated
aggregate,aggregated
aggress,aggressed
aggrieve,aggrieved
agist,agisted
agitate,agitated
agminate,agminated
agnam,agnamed
agnize,agnized
agony,agonied
agonise,agonised
agonize,agonized
agram,agramed
agrise,agrised
plagu,plagued
ahunger,ahungered
aide,aided
renew,renewed
seek,sought
troublead,troubled
vari,varied
aiguillet,aiguilletted
ail,ailed
aim,aimed
blast,blasted
airbrain,airbrained
brake,braked
breathe,breathed
breed,bred
airbrush,airbrushed
cheek,cheeked
aircondition,airconditioned
condition,conditioned
cool,cooled
dry,dried
airdrop,airdropped
air,aired
air-embrace,air-embraced
air-floate,air-floated
air-form,air-formed
airify,airified
lance,lanced
